group_id,repeat_index,canonical_path,sha256,alias_paths
scene_18,2,PRD measurments/PRD_36.mat,f10c815d19319514fa7a20394ceed013a80b1476b466051c3254dad94efd29c3,PRD measurments copy/PRD2scene18.mat
scene_19,1,PRD measurments/PRD_37.mat,028bb4215ff90687aef517544257df1b3954ed38c825b646c6619efd02146a5e,PRD measurments copy/PRD1scene19.mat
scene_19,2,PRD measurments/PRD_38.mat,0ae4aa52b6a84196c1b09a26327a7917e6129bd1480319934c34726d6436027e,PRD measurments copy/PRD2scene19.mat
scene_20,1,PRD measurments/PRD_39.mat,beb563b331ca647f0082900da6652d71756ed46396366dd9c53b84b56f477753,PRD measurments copy/PRD1scene20.mat
scene_20,2,PRD measurments/PRD_40.mat,c764e71148443c6836a7d4cc4cf173433903b2d4fd11534aa6ea803261022115,PRD measurments copy/PRD2scene20.mat
scene_21,1,PRD measurments/PRD_41.mat,f2b4f3ccd419ac66b464902ad9b7127423ac5f6a44f823fd4ffbdb49c0034382,PRD measurments copy/PRD1scene21.mat
scene_21,2,PRD measurments/PRD_42.mat,b3c936d9793582f73e003e778aa2dd180071ceab0ca88211a87e3bf8abb04622,PRD measurments copy/PRD2scene21.mat
scene_22,1,PRD measurments/PRD_43.mat,5abf7975ff7add6f6c559c1163527b2fe49fef781648f78b66d2967e2d9ea9b7,PRD measurments copy/PRD1scene22.mat
scene_23,1,PRD measurments/PRD_45.mat,9d2cbf2831168448782e57d4d24677fd99f01f7efbfa6c50aacf4adb5c84b6d9,PRD measurments copy/PRD1scene23.mat
scene_24,1,PRD measurments/PRD_47.mat,735796d99e8111d0b6758abfdb7b10930eba0475511234fdb717e812db83d46e,PRD measurments copy/PRD1scene24.mat
