file,aperture,shutter,accepted,failed_gates,max_near_ceiling_gate,max_near_ceiling_frame,near_ceiling_gate_r,near_ceiling_gate_g1,near_ceiling_gate_g2,near_ceiling_gate_b,near_ceiling_frame_r,near_ceiling_frame_g1,near_ceiling_frame_g2,near_ceiling_frame_b,finite_fraction_gate_r,finite_fraction_gate_g1,finite_fraction_gate_g2,finite_fraction_gate_b,finite_fraction_frame_r,finite_fraction_frame_g1,finite_fraction_frame_g2,finite_fraction_frame_b,green_center_signal,green_asymmetry,dark_controls_verified,comparison_file,max_corner_delta_pp,rms_corner_delta_pp,analysis_policy
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:40_DSCF0374.RAF,8.0,1:40,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99988836,1.00000000,1.00000000,0.99989349,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:500_DSCF0386.RAF,8.0,1:500,false,near_ceiling,0.11631902,0.00496401,0.00000000,0.08690835,0.11631902,0.00000000,0.00000000,0.00366404,0.00496401,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.97483560,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:50_DSCF0375.RAF,8.0,1:50,false,near_ceiling,1.00000000,0.99994501,1.00000000,1.00000000,1.00000000,1.00000000,0.99984098,0.99994501,0.99994418,0.99984761,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:60_DSCF0376.RAF,8.0,1:60,false,near_ceiling,1.00000000,0.99991784,1.00000000,1.00000000,1.00000000,1.00000000,0.99979924,0.99991784,0.99991685,0.99980951,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:80_DSCF0377.RAF,8.0,1:80,false,near_ceiling,1.00000000,0.99987974,1.00000000,1.00000000,1.00000000,1.00000000,0.99971559,0.99987974,0.99987825,0.99973232,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:100_DSCF0397.RAF,9.0,1:100,false,near_ceiling,1.00000000,0.99948402,1.00000000,1.00000000,1.00000000,1.00000000,0.98912334,0.99948402,0.99947922,0.99159723,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:10_DSCF0388.RAF,9.0,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:125_DSCF0398.RAF,9.0,1:125,false,near_ceiling,1.00000000,0.99935416,1.00000000,1.00000000,1.00000000,1.00000000,0.91138015,0.99935416,0.99934885,0.91804830,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:15_DSCF0389.RAF,9.0,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:160_DSCF0399.RAF,9.0,1:160,false,near_ceiling,1.00000000,0.99767834,1.00000000,1.00000000,1.00000000,1.00000000,0.54783242,0.99767834,0.99766078,0.51331162,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:180_DSCF0400.RAF,9.0,1:180,false,near_ceiling,1.00000000,0.99382000,1.00000000,1.00000000,1.00000000,1.00000000,0.33176220,0.99382000,0.99379217,0.28001579,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:20_DSCF0390.RAF,9.0,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99992546,1.00000000,1.00000000,0.99990376,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:25_DSCF0391.RAF,9.0,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99979162,1.00000000,1.00000000,0.99978384,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:30_DSCF0392.RAF,9.0,1:30,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99971857,1.00000000,1.00000000,0.99971990,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:40_DSCF0393.RAF,9.0,1:40,false,near_ceiling,1.00000000,0.99988703,1.00000000,1.00000000,1.00000000,1.00000000,0.99962266,0.99988703,0.99988670,0.99962714,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:50_DSCF0394.RAF,9.0,1:50,false,near_ceiling,1.00000000,0.99975187,1.00000000,1.00000000,1.00000000,1.00000000,0.99951185,0.99975187,0.99974905,0.99952278,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:60_DSCF0395.RAF,9.0,1:60,false,near_ceiling,1.00000000,0.99969273,1.00000000,1.00000000,1.00000000,1.00000000,0.99940517,0.99969273,0.99969025,0.99942373,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f9.0_1:80_DSCF0396.RAF,9.0,1:80,false,near_ceiling,1.00000000,0.99959219,1.00000000,1.00000000,1.00000000,1.00000000,0.99859104,0.99959219,0.99958705,0.99890824,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
